,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
44,13.3,0.98,0.47,59.3,0.37,219.6,339.0,1.02486,3.25,1.52,11.1,0
45,10.9,0.63,1.41,37.2,0.125,211.2,289.3,1.02871,2.91,1.66,11.2,0
46,12.6,1.22,1.1,57.8,0.277,77.4,289.1,1.01253,2.85,1.8,13.1,0
47,11.7,1.23,1.43,47.4,0.278,177.9,369.0,1.00659,2.99,1.52,11.6,0
48,14.4,1.24,0.97,49.4,0.356,188.9,285.6,1.0232,3.21,1.01,10.9,0
49,10.8,0.43,0.91,27.5,0.367,107.4,162.8,1.01847,3.39,1.35,11.3,0
50,7.3,0.69,1.06,34.3,0.147,174.9,292.5,1.01355,2.98,1.76,11.5,0
51,8.8,1.04,1.34,47.6,0.342,109.6,249.2,1.02559,3.24,0.81,12.0,0
52,12.3,1.09,0.96,39.4,0.232,229.0,221.0,1.02235,3.11,1.55,11.3,0
53,9.7,0.48,1.05,28.8,0.213,57.9,355.7,1.02254,3.5,1.76,12.6,0
54,7.2,0.94,1.21,34.1,0.154,168.5,269.3,1.01669,3.02,1.31,10.2,0
55,11.8,0.62,0.92,33.3,0.213,97.3,241.2,0.99576,3.1,1.15,11.3,0
56,9.7,0.8,0.87,21.8,0.407,106.7,250.3,1.01454,3.11,1.57,13.0,0
57,13.0,1.28,0.94,18.5,0.159,179.9,315.8,1.00211,3.01,1.63,10.7,0
58,12.3,1.12,0.57,49.3,0.429,155.9,301.6,1.02202,2.9,1.18,11.8,0
59,10.2,0.83,0.96,42.2,0.355,227.2,273.5,1.02646,2.89,1.62,11.5,0
60,10.6,0.55,1.21,40.8,0.142,179.1,274.3,1.01232,3.34,0.72,11.2,0
61,11.9,0.59,1.32,46.6,0.283,151.8,127.5,1.02004,3.47,1.68,10.8,0
62,12.0,0.67,0.78,45.9,0.281,192.3,225.8,1.02544,2.87,1.14,11.1,0
63,10.4,1.36,1.26,55.2,0.151,243.7,350.4,1.02229,3.21,1.33,11.1,0
64,9.8,1.19,0.86,38.8,0.229,174.6,384.0,1.01376,3.32,1.09,12.6,0
65,8.1,0.96,1.45,53.9,0.11,124.2,350.1,1.02138,2.91,1.59,12.4,0
66,11.0,0.76,0.88,38.0,0.446,159.9,140.5,1.02079,3.32,0.86,10.7,0
67,12.1,1.18,1.08,47.5,0.159,167.1,338.1,1.03278,2.78,1.16,11.0,0
68,12.2,1.15,1.41,48.1,0.457,110.7,377.5,1.01872,2.94,1.17,11.5,0
69,13.2,0.47,1.34,48.3,0.255,82.2,304.1,1.03039,3.16,0.87,12.6,0
70,13.1,1.19,0.98,42.7,0.227,90.5,290.6,1.01754,3.42,1.0,12.7,0
71,10.7,0.73,1.35,38.8,0.318,59.0,191.9,1.02642,3.24,1.32,10.7,0
72,13.3,0.8,1.1,38.9,0.141,143.3,315.6,1.02148,3.19,1.61,12.2,0
73,9.3,0.99,1.1,53.7,0.47,208.0,372.7,1.02658,3.09,1.37,11.1,0
74,9.1,0.95,0.85,56.4,0.132,161.5,384.0,1.02541,3.1,1.33,12.3,0
75,13.3,1.32,1.03,55.5,0.339,252.9,348.8,1.01066,3.24,1.29,12.1,0
76,12.5,0.6,1.3,58.8,0.302,200.7,329.0,1.0163,3.08,0.54,12.0,0
77,10.6,0.84,1.0,38.1,0.254,121.8,255.1,1.01662,3.34,1.18,11.7,0
78,9.4,1.1,1.36,46.9,0.256,129.4,407.4,1.02546,3.1,1.58,13.1,0
79,9.5,0.95,0.79,48.5,0.321,230.1,223.9,1.02612,3.18,1.07,13.1,0
80,12.0,0.99,0.72,35.7,0.199,133.6,361.9,1.01537,3.17,1.74,10.7,0
81,11.0,1.09,1.06,35.1,0.179,212.9,327.2,1.02269,2.95,1.45,11.4,0
82,9.3,1.13,0.69,47.8,0.326,186.8,301.5,1.01293,3.45,1.26,12.5,0
83,11.2,0.95,1.18,47.5,0.182,186.4,251.8,1.01337,2.93,1.19,11.3,0
84,9.3,0.98,1.46,43.3,0.212,111.7,215.2,1.00374,3.11,1.51,12.4,0
85,10.2,1.41,1.32,32.9,0.176,195.0,366.0,1.02543,3.11,1.71,13.6,0
86,8.7,1.21,1.31,43.4,0.293,181.7,328.9,1.02277,3.29,0.74,11.3,0
87,10.2,0.71,1.0,49.1,0.212,137.9,141.3,1.00902,3.53,1.14,11.2,0
88,10.8,0.75,0.8,31.9,0.163,218.9,288.3,1.01145,3.32,1.22,12.1,0
89,7.2,1.19,1.15,56.0,0.213,228.6,346.6,1.01616,3.11,1.21,11.3,0
90,10.2,1.04,1.26,27.5,0.309,218.3,107.2,0.99984,3.48,1.37,13.0,0
91,8.8,0.71,1.41,40.6,0.126,64.8,271.2,1.00884,3.02,0.78,12.7,0
92,8.5,1.1,0.81,38.3,0.216,225.2,361.2,1.00921,2.98,1.01,11.5,0
93,11.3,0.94,0.49,46.2,0.191,226.3,290.5,1.01611,3.03,1.03,10.9,0
94,11.5,1.34,1.1,50.7,0.319,240.1,272.2,1.01386,3.24,0.65,13.6,0
95,8.1,1.19,1.19,46.9,0.328,66.6,334.8,1.02379,2.93,1.49,13.4,0
96,10.1,0.94,0.91,32.2,0.202,188.3,206.6,1.01769,3.65,1.22,11.9,0
97,10.4,1.24,0.86,32.3,0.364,194.5,317.0,1.01813,3.22,1.35,11.4,0
98,9.9,0.72,0.73,40.3,0.132,250.0,215.0,1.00736,3.13,1.4,12.9,0
99,12.9,0.94,1.16,52.0,0.282,194.8,357.2,1.01062,3.19,1.57,11.9,0
100,9.7,0.71,1.2,28.3,0.357,102.7,254.0,1.00428,3.16,1.29,13.2,0
101,9.5,0.67,1.11,28.6,0.165,199.3,105.4,1.01012,3.51,1.34,13.4,0
102,10.0,0.97,0.7,40.8,0.223,165.2,129.8,1.0113,3.31,1.63,11.1,0
103,14.7,0.7,1.23,39.9,0.384,217.8,313.5,1.00797,2.99,1.06,10.7,0
104,10.9,0.94,0.52,42.7,0.247,229.0,400.0,1.01849,2.95,1.47,9.8,0
105,7.9,0.83,1.07,47.0,0.213,112.2,179.1,1.02369,3.26,0.99,11.6,0
106,11.3,0.74,1.03,37.6,0.297,186.0,321.8,1.00246,3.19,1.48,10.2,0
107,10.9,0.56,0.88,30.9,0.154,231.6,281.4,1.01472,3.24,1.04,12.2,0
108,13.0,0.4,0.7,20.5,0.432,200.9,237.6,1.02162,3.56,1.33,9.7,0
109,13.7,0.71,0.85,46.1,0.205,217.5,363.6,1.03563,2.92,0.98,10.5,0
110,12.3,1.07,0.59,52.1,0.138,166.3,355.0,1.01152,3.16,1.58,11.3,0
111,11.5,1.23,0.97,20.8,0.225,195.5,157.7,1.01509,3.11,1.39,11.4,0
112,13.5,1.23,0.75,45.4,0.291,123.8,243.5,1.03296,2.95,1.16,11.6,0
113,9.9,0.85,1.29,53.5,0.35,97.1,292.0,1.01842,3.07,1.58,11.6,0
114,12.9,1.08,1.21,33.7,0.23,147.7,258.1,1.00716,3.33,1.77,11.9,0
115,13.4,1.17,1.41,46.9,0.287,273.4,275.3,1.01168,3.23,1.03,10.7,0
116,9.7,0.79,0.75,44.4,0.223,169.8,234.5,1.01168,2.86,1.52,11.9,0
117,11.5,1.25,0.89,49.0,0.316,161.6,234.6,1.00956,3.28,1.16,11.1,0
118,11.7,0.98,1.18,45.4,0.317,194.1,393.0,1.01499,3.14,1.23,11.5,0
119,7.7,1.05,0.65,42.9,0.16,156.5,242.2,1.01827,2.96,0.96,12.2,0
120,9.1,0.96,0.73,47.6,0.244,196.1,214.0,1.01495,2.99,1.48,11.1,0
121,7.1,0.8,0.96,44.3,0.301,140.4,234.7,1.01759,3.16,1.09,13.7,0
122,8.2,0.69,1.09,34.4,0.11,173.1,299.2,0.99931,3.12,1.5,11.8,0
123,9.3,1.25,1.12,42.0,0.239,119.2,243.6,1.01775,3.15,0.73,12.8,0
124,8.0,0.71,0.96,50.6,0.17,154.6,263.1,1.01218,3.26,1.32,11.5,0
125,13.1,1.41,0.98,37.6,0.107,194.1,313.2,1.01306,3.05,0.86,11.7,0
126,10.7,1.43,1.25,28.8,0.18,198.1,360.8,1.01128,3.41,1.37,11.7,0
127,11.7,0.71,0.69,46.1,0.366,152.9,379.2,1.01588,2.97,1.67,9.8,0
128,9.0,0.8,0.8,43.3,0.195,71.9,158.2,1.02158,3.0,1.47,11.0,0
129,12.2,1.08,1.07,41.3,0.158,201.6,319.7,1.02318,3.26,1.55,11.2,0
130,11.1,0.62,0.86,48.3,0.176,176.5,318.3,1.02493,2.98,0.85,12.2,0
131,8.2,1.31,1.07,51.0,0.115,158.6,393.9,1.02163,3.04,0.75,11.3,0
132,10.3,0.5,0.99,43.4,0.194,167.6,299.3,1.02433,2.94,1.1,12.8,0
133,12.0,1.33,1.03,30.4,0.247,266.2,336.8,1.02633,3.01,0.91,11.4,0
134,12.1,1.17,1.34,42.0,0.457,176.4,202.0,1.01618,3.0,1.22,12.8,0
135,12.1,0.87,1.16,49.1,0.234,97.5,221.4,1.01362,3.03,0.97,10.8,0
136,13.0,0.82,1.34,54.1,0.309,151.2,231.9,1.01463,3.26,0.81,9.3,0
137,8.3,0.86,1.41,42.2,0.191,149.9,160.4,1.01225,3.15,1.62,11.2,0
138,7.8,1.22,1.2,29.2,0.187,181.2,195.6,1.01635,3.07,1.45,11.3,0
139,11.5,0.74,1.03,53.6,0.099,146.8,398.0,1.02866,2.98,1.03,11.5,0
140,10.2,0.52,0.87,35.4,0.194,149.9,330.8,1.01269,3.22,1.06,13.3,0
141,12.3,1.04,1.13,44.3,0.167,151.5,314.4,0.99585,3.14,1.5,11.6,0
142,11.7,1.17,0.9,35.3,0.158,227.4,273.0,1.00462,3.16,1.2,10.9,0
143,11.6,1.07,0.69,41.2,0.21,223.1,302.4,1.02436,3.02,0.89,12.3,0
144,11.0,0.72,1.14,47.6,0.14,100.5,263.3,1.0088,3.09,1.08,11.8,0
145,13.1,0.95,1.15,43.9,0.321,201.4,262.3,1.0216,3.02,1.07,11.4,0
146,13.1,1.19,0.83,50.4,0.37,199.5,308.5,1.01548,3.08,0.89,11.6,0
147,12.3,0.9,0.86,33.3,0.304,192.2,283.0,1.01921,2.94,1.64,10.0,0
148,12.0,0.58,1.29,38.7,0.197,171.9,339.0,1.01552,2.93,0.98,12.1,0
149,8.1,1.01,1.28,48.5,0.451,133.6,397.2,1.00927,3.24,1.48,12.1,0
150,9.2,1.14,1.19,45.0,0.169,50.1,300.9,1.0188,2.92,0.97,10.9,0
151,9.0,0.45,0.86,47.6,0.448,101.8,248.3,1.0234,3.13,0.99,12.3,0
152,12.2,0.86,1.09,48.1,0.273,164.2,317.1,1.00766,3.3,1.05,11.6,0
153,12.9,1.3,0.67,42.7,0.314,184.0,355.4,1.02163,3.34,0.51,13.2,0
154,11.9,0.78,1.2,55.3,0.19,115.7,370.7,1.02048,3.02,1.37,12.5,0
155,10.0,1.2,0.72,46.4,0.264,193.6,375.3,1.00934,2.93,1.52,12.7,0
156,14.5,0.67,1.24,33.9,0.213,104.4,273.9,1.02321,3.1,0.94,12.0,0
157,10.4,1.01,1.13,45.4,0.233,171.6,347.8,1.02598,3.04,1.37,13.1,0
158,10.0,0.44,1.1,44.5,0.176,169.8,265.6,1.02391,3.03,1.18,13.0,0
159,9.4,1.03,1.09,39.2,0.365,225.1,361.6,1.02566,3.18,1.18,13.1,0
160,11.1,1.16,1.12,54.6,0.527,255.6,366.1,1.02866,2.97,0.91,10.6,0
161,13.3,0.69,1.03,48.9,0.097,146.9,172.1,1.01201,2.94,1.66,12.5,0
162,12.4,1.42,0.85,52.9,0.225,223.3,308.9,1.02132,2.96,1.19,13.6,0
163,8.1,1.01,1.28,48.5,0.451,133.6,397.2,1.00927,3.24,1.48,12.1,0
164,9.4,1.18,0.95,40.6,0.317,156.6,229.0,1.02553,2.95,0.97,11.5,0
165,12.0,0.86,0.59,38.4,0.272,245.3,332.4,1.02367,3.14,1.14,11.8,0
166,13.0,0.46,1.05,43.9,0.355,190.8,284.5,1.02267,3.04,1.36,11.1,0
167,12.3,1.2,0.51,14.2,0.192,203.8,343.6,1.01706,3.05,1.4,12.5,0
168,10.6,0.52,1.03,44.0,0.33,108.2,162.0,1.01908,3.4,0.88,9.1,0
169,11.5,0.73,1.41,52.4,0.152,125.0,392.0,1.01798,3.46,1.44,13.2,0
170,13.2,1.17,0.96,59.6,0.299,142.0,261.6,1.00927,3.27,1.29,11.8,0
171,10.0,0.98,0.82,40.5,0.231,130.0,322.9,1.01837,2.93,1.55,11.6,0
172,11.2,1.09,1.08,47.8,0.208,200.0,186.0,1.01498,3.26,1.04,12.6,0
173,12.0,0.33,1.08,29.4,0.297,155.9,300.1,1.00742,3.24,1.8,11.8,0
174,11.6,1.06,0.58,34.9,0.345,223.0,341.6,1.01291,3.37,1.39,12.1,0
175,10.4,0.99,1.07,43.3,0.17,72.5,310.3,1.01832,2.9,1.31,12.5,0
176,13.3,1.13,1.03,38.9,0.272,212.5,285.6,1.01294,3.03,1.17,11.2,0
177,11.8,1.06,1.12,43.1,0.117,106.7,272.2,1.01505,3.15,1.38,12.5,0
178,12.5,0.87,1.03,38.7,0.121,173.6,256.5,1.02569,2.95,1.5,11.2,0
179,11.2,1.16,0.95,46.6,0.348,192.0,368.0,0.99906,3.0,1.56,12.5,0
180,14.0,1.2,1.39,32.6,0.477,254.3,247.2,1.02722,3.24,1.52,12.8,0
181,11.5,0.96,0.92,43.5,0.115,234.7,324.0,1.01586,3.2,0.81,10.7,0
182,11.7,1.17,0.9,35.3,0.158,227.4,273.0,1.00462,3.16,1.2,10.9,0
183,8.1,1.14,0.7,58.8,0.216,134.1,269.5,1.01802,3.41,1.0,12.1,0
184,11.1,1.16,1.11,52.3,0.244,259.9,393.5,1.01562,3.33,0.8,10.7,0
185,13.0,0.9,1.07,47.6,0.335,215.9,197.9,1.01361,3.12,0.98,10.8,0
186,9.7,0.73,1.24,54.4,0.407,129.1,265.4,1.02524,3.03,0.84,11.9,0
187,12.2,1.19,1.08,42.8,0.157,198.1,192.7,1.02849,2.99,1.49,10.1,0
188,15.0,1.14,0.56,53.0,0.391,249.2,219.6,1.02496,2.93,1.41,10.1,0
189,10.2,1.14,1.27,35.7,0.159,160.2,215.2,1.00762,3.21,1.6,11.9,0
190,9.1,1.15,1.37,42.1,0.267,219.5,239.1,1.01347,3.16,1.15,11.1,0
191,13.0,1.13,0.4,31.0,0.375,235.7,377.9,1.02486,3.01,1.62,11.9,0
192,11.0,0.84,1.23,25.2,0.076,193.9,312.8,1.01244,3.29,1.38,12.8,0
193,8.4,0.9,0.9,47.8,0.226,151.0,282.6,1.0272,3.01,1.28,11.7,0
194,11.7,1.46,0.59,50.0,0.25,244.7,380.2,1.00627,3.31,1.49,10.4,0
195,14.3,1.14,1.54,55.3,0.533,213.3,359.2,1.01413,3.38,1.28,11.8,0
196,12.2,0.72,0.97,47.0,0.284,188.5,250.2,1.00324,3.2,1.22,11.2,0
197,9.2,0.96,0.95,46.1,0.247,102.8,301.0,1.002,2.97,1.76,12.9,0
198,13.1,0.87,1.09,48.2,0.17,215.5,211.0,1.00617,3.02,1.64,10.5,0
199,8.7,1.21,1.31,43.4,0.293,181.7,328.9,1.02277,3.29,0.74,11.3,0
200,11.3,0.74,1.03,37.6,0.297,186.0,321.8,1.00246,3.19,1.48,10.2,0
201,9.1,1.14,0.92,45.6,0.11,165.9,237.2,1.02377,2.88,1.72,11.0,0
202,11.6,0.91,0.95,40.1,0.321,98.9,211.6,1.01236,2.91,1.31,11.9,0
203,9.6,1.0,1.49,46.8,0.349,175.3,363.3,1.0261,3.18,1.29,12.5,0
204,10.7,1.21,1.07,43.9,0.434,122.1,288.5,1.01162,2.92,0.92,11.1,0
205,9.1,1.08,1.16,33.5,0.272,94.1,232.5,1.00638,3.19,1.16,12.5,0
206,11.6,0.93,0.68,37.6,0.359,209.9,327.3,1.00499,3.22,1.11,11.5,0
207,7.7,1.0,1.25,42.9,0.223,83.2,226.8,1.01586,2.87,1.53,11.9,0
208,12.9,0.7,0.69,54.5,0.312,106.2,245.4,1.02749,3.45,1.44,10.7,0
209,8.4,0.76,1.19,48.0,0.178,169.0,199.4,1.01386,3.48,1.24,11.7,0
210,13.4,1.29,0.85,39.4,0.282,204.3,247.6,1.01838,2.93,1.49,11.6,0
211,12.9,0.73,0.91,47.2,0.41,82.2,289.3,1.01703,2.88,1.53,12.1,0
212,11.2,1.07,0.88,43.1,0.413,154.0,377.6,1.01536,2.96,1.27,12.7,0
213,9.5,1.19,1.3,28.3,0.27,161.6,233.3,1.02054,3.42,1.53,11.7,0
214,13.4,1.15,1.09,53.7,0.256,207.0,349.3,1.02634,2.95,0.84,11.2,0
215,12.7,0.93,1.09,37.1,0.327,134.4,151.8,1.02383,3.04,1.26,10.3,0
216,15.2,0.67,0.81,56.1,0.36,203.8,338.7,1.02113,2.84,1.22,9.1,0
217,10.9,0.89,1.26,52.3,0.488,159.2,362.2,1.02196,3.26,1.01,11.6,0
218,8.4,1.14,0.87,36.7,0.32,167.2,390.2,1.02012,3.04,1.28,13.8,0
219,11.9,0.87,1.13,45.4,0.15,203.4,367.0,1.00778,3.17,1.22,10.1,0
220,11.5,1.38,1.39,31.4,0.339,209.9,215.5,1.03414,3.06,1.45,12.8,0
221,10.7,0.83,1.32,51.1,0.247,214.7,256.6,1.00873,3.39,0.65,11.3,0
222,7.3,1.13,0.88,53.4,0.288,193.4,201.4,1.00312,3.44,1.56,12.8,0
223,12.5,1.23,1.13,34.3,0.148,159.8,352.9,1.01197,3.22,0.92,11.6,0
224,6.0,0.94,1.48,36.3,0.322,179.7,305.7,1.0157,3.17,1.5,13.4,0
225,10.3,0.5,0.99,43.4,0.194,167.6,299.3,1.02433,2.94,1.1,12.8,0
226,10.1,0.97,0.66,25.6,0.303,148.2,256.3,1.02345,3.16,1.36,11.7,0
227,10.4,1.02,1.08,56.1,0.286,184.6,364.4,1.02689,3.13,1.64,11.8,0
228,15.3,0.6,0.88,31.2,0.244,81.7,227.9,0.99969,3.4,1.19,10.0,0
229,9.6,1.35,1.5,31.2,0.236,267.3,248.5,1.02342,3.24,1.22,10.9,0
230,13.3,1.13,1.03,38.9,0.272,212.5,285.6,1.01294,3.03,1.17,11.2,0
231,11.7,0.94,0.97,28.0,0.265,192.4,303.7,1.00949,3.21,1.12,12.9,0
232,9.8,0.57,0.91,41.0,0.326,167.7,328.9,1.0236,3.21,1.16,13.0,0
233,8.4,0.78,1.17,40.6,0.229,100.6,260.1,1.01976,3.33,1.1,12.5,0
234,10.5,1.0,1.25,41.7,0.438,210.4,188.9,1.0151,2.99,1.4,11.4,0
235,12.3,1.06,1.15,20.4,0.12,177.0,212.2,1.02458,3.2,1.42,10.5,0
236,10.3,1.04,1.42,58.1,0.288,180.6,361.3,1.02273,3.27,0.71,13.2,0
237,8.2,1.12,0.79,46.4,0.348,190.8,211.7,1.01895,3.38,1.19,11.3,0
238,10.4,0.88,1.14,58.5,0.405,167.8,374.4,1.02161,2.97,1.16,11.3,0
239,9.4,1.05,0.75,42.3,0.139,179.4,219.2,1.02197,3.02,1.36,12.7,0
240,12.3,1.1,1.27,48.6,0.302,184.2,236.0,1.0201,3.37,1.28,10.5,0
241,9.1,0.91,1.41,35.7,0.214,214.5,364.1,1.01444,3.35,1.64,10.3,0
242,12.4,0.44,0.92,56.0,0.117,98.9,110.5,1.02664,3.17,1.11,10.8,0
243,8.3,0.71,1.42,47.2,0.437,115.5,214.8,1.01466,3.05,1.26,12.0,0
244,13.5,1.1,0.24,30.2,0.298,195.1,371.6,1.00844,3.03,1.22,12.9,0
245,11.5,1.25,0.89,49.0,0.316,161.6,234.6,1.00956,3.28,1.16,11.1,0
246,6.1,1.05,1.09,40.3,0.251,78.1,168.0,1.02331,3.08,1.04,11.4,0
247,10.0,0.97,0.7,40.8,0.223,165.2,129.8,1.0113,3.31,1.63,11.1,0
248,7.8,1.06,1.17,50.1,0.243,209.5,345.9,1.01504,3.06,1.09,12.5,0
249,8.3,0.66,1.12,56.8,0.173,159.5,336.0,1.01268,3.36,0.76,11.5,0
250,9.6,1.22,1.26,48.9,0.261,168.7,333.6,1.02591,2.87,0.94,12.3,0
251,13.3,0.66,1.21,60.4,0.398,208.0,372.4,1.02392,3.39,1.03,10.7,0
252,11.4,0.82,1.09,35.8,0.16,211.3,194.8,1.01269,3.26,0.8,11.7,0
253,11.6,1.22,1.03,43.5,0.312,241.5,298.5,1.02221,3.12,0.99,10.3,0
254,13.2,0.56,1.1,41.0,0.203,205.9,337.5,1.0212,3.02,1.42,11.3,0
255,8.2,0.8,1.46,37.0,0.341,183.2,348.8,1.0197,3.19,1.17,11.7,0
256,9.8,0.78,1.01,31.2,0.134,125.1,245.5,1.00719,2.98,1.36,11.0,0
257,13.5,1.09,1.33,49.5,0.385,226.5,277.4,1.01755,2.85,1.3,10.5,0
258,13.6,1.03,1.2,44.3,0.408,217.0,212.6,1.01582,3.36,1.02,11.1,0
259,11.0,1.19,1.23,41.3,0.25,201.1,343.1,1.02113,3.05,1.19,12.0,0
260,11.9,0.71,0.64,48.3,0.294,246.2,256.6,1.01109,3.08,1.24,11.7,0
261,10.1,0.65,0.72,42.3,0.311,120.8,231.6,1.01948,2.89,1.45,11.6,0
262,10.5,0.58,1.42,46.3,0.305,124.8,286.3,1.0225,3.03,1.01,9.8,0
263,11.8,1.02,0.71,30.3,0.225,240.7,182.3,1.00809,3.13,1.83,12.9,0
264,13.5,0.73,1.08,58.1,0.307,119.3,287.5,1.00853,3.05,0.97,11.7,0
265,9.1,0.7,0.92,33.5,0.238,238.9,270.8,1.02301,3.13,1.5,11.3,0
266,11.7,1.1,1.06,38.9,0.224,229.2,268.4,1.01358,3.51,1.37,11.3,0
267,10.0,0.69,0.88,39.4,0.216,157.2,215.4,1.00366,3.11,1.35,11.7,0
268,13.3,1.32,1.23,42.7,0.27,171.3,372.4,1.02201,3.18,1.17,13.1,0
269,7.8,0.55,0.88,42.5,0.381,89.5,348.6,1.02848,3.21,1.24,12.1,0
270,9.6,0.66,1.42,27.2,0.1,137.1,228.0,1.00716,3.39,1.21,11.4,0
271,11.5,1.34,1.1,50.7,0.319,240.1,272.2,1.01386,3.24,0.65,13.6,0
272,8.1,1.17,0.82,48.5,0.255,179.7,235.7,1.02322,3.04,1.1,12.5,0
273,12.8,1.31,0.97,41.6,0.376,253.3,379.9,1.01814,2.95,1.28,11.4,0
274,10.7,0.84,0.51,47.3,0.416,164.7,318.4,1.00543,3.15,1.22,12.0,0
275,12.2,1.42,0.86,44.9,0.165,165.3,247.0,1.00669,2.87,1.53,11.4,0
276,9.5,0.89,1.34,40.1,0.199,116.1,182.0,1.01828,3.12,0.87,10.6,0
277,7.6,1.49,0.77,53.4,0.416,251.8,380.5,1.02122,3.21,0.79,12.7,0
278,12.1,0.65,1.09,55.8,0.31,122.9,353.9,1.02473,3.56,1.04,9.5,0
279,9.6,1.43,0.98,44.3,0.206,208.3,388.1,1.02019,3.17,1.45,13.8,0
280,13.8,0.82,1.05,34.4,0.263,188.7,265.7,1.01396,2.97,1.16,11.0,0
281,10.8,1.02,1.08,26.4,0.267,214.9,350.5,1.01325,3.07,1.38,11.9,0
